"","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
"26",1,0,0,0,0,0,1,0,0,0,4,4,4,4,4,1,2,2,1,3
"27",0,0,1,0,0,0,0,0,0,0,1,2,2,1,1,2,1,1,1,3
"28",0,0,1,0,1,1,1,1,0,1,1,3,2,4,4,4,4,1,2,2
"29",0,0,0,0,1,1,1,0,0,1,4,4,4,4,4,4,4,3,3,4
"30",1,0,0,1,1,0,1,0,0,0,3,1,4,2,3,4,2,3,1,1
"31",1,0,1,1,1,1,1,0,1,0,3,4,4,2,3,4,4,4,2,2
"32",0,0,1,1,1,0,1,0,0,1,4,4,4,2,4,4,4,3,4,4
"33",1,0,1,1,1,1,1,1,0,1,4,2,4,3,4,4,4,4,2,4
"34",0,0,0,0,1,0,0,0,1,1,4,2,2,2,3,4,1,3,0,2
"35",0,0,0,1,0,1,1,1,0,1,1,4,4,4,3,2,4,4,1,2
"36",1,0,0,1,1,1,1,0,0,1,3,4,4,3,1,4,4,4,3,0
"37",0,0,0,1,1,0,1,1,0,0,3,4,4,3,4,2,3,4,3,4
"38",0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,3,2,1,1,1
"39",0,0,0,0,1,1,1,1,1,1,3,2,2,3,1,3,4,3,1,1
"40",1,0,0,1,1,1,1,1,0,1,3,2,4,4,4,4,3,3,3,0
"41",0,0,0,0,1,1,1,1,0,1,4,2,2,2,4,2,4,4,2,4
"42",0,0,0,0,1,0,1,1,0,1,4,2,4,4,4,2,2,2,2,2
"43",0,0,0,0,0,0,1,0,0,0,3,2,2,2,3,3,3,2,3,3
"44",0,0,0,0,0,1,1,1,0,0,1,2,4,1,3,2,1,1,1,2
"45",0,0,0,1,1,1,1,0,0,0,4,3,4,3,3,4,4,3,3,0
"46",1,0,0,1,0,0,1,1,0,1,3,4,2,3,4,4,4,4,2,2
"47",0,0,0,0,1,1,1,1,0,1,3,2,2,4,3,4,4,2,2,2
"48",0,0,0,0,0,1,1,1,0,1,3,4,4,3,4,4,3,3,3,2
"49",1,0,1,0,1,1,1,1,0,1,3,4,4,4,4,4,4,4,3,3
"50",0,0,0,0,0,1,1,0,0,0,3,3,4,4,4,4,3,4,4,4
"51",1,0,1,0,0,1,1,1,0,1,4,4,4,4,4,3,2,2,3,4
"52",0,0,0,1,0,1,1,1,0,0,3,4,4,3,4,4,3,3,3,3
"53",0,0,0,0,0,1,1,0,1,1,3,2,2,2,2,3,2,2,3,3
"54",1,0,1,0,0,0,1,1,0,1,3,3,4,2,4,2,3,4,3,3
"55",0,0,0,0,1,1,1,1,0,1,4,4,4,3,4,2,4,3,3,4
"56",0,0,1,0,0,0,0,0,1,0,1,2,4,1,3,3,2,3,2,1
"57",0,0,0,0,0,0,1,1,0,0,3,2,4,2,3,3,2,2,3,1
"58",1,0,0,0,0,1,1,0,0,1,1,4,2,2,3,4,3,3,3,0
"59",0,0,0,0,0,1,1,0,0,1,3,2,2,2,1,2,3,4,1,2
"60",1,0,0,1,1,1,1,1,1,1,1,4,4,2,2,3,2,3,1,4
"61",0,0,0,0,0,0,1,1,0,0,1,2,2,1,1,3,2,2,2,2
"62",0,0,1,1,1,1,1,1,1,0,4,4,4,3,3,4,4,4,4,4
"63",0,0,1,1,1,1,1,1,0,1,3,4,4,4,3,4,4,3,4,3
"64",0,0,0,0,1,1,0,0,0,0,3,4,4,3,1,2,2,2,3,0
"65",0,0,1,0,1,1,1,1,0,1,3,3,4,3,4,4,3,4,3,0
"66",0,0,0,0,1,1,1,1,0,0,4,4,4,4,4,1,3,3,3,4
"67",1,0,1,1,0,1,1,1,0,1,4,4,4,4,4,4,4,4,3,4
"68",1,1,1,0,0,1,1,0,0,1,3,2,4,2,4,2,1,3,3,2
"69",1,0,0,0,1,1,1,1,0,0,4,2,4,4,1,4,4,4,4,3
"70",0,1,1,1,1,1,1,0,0,1,4,4,4,4,3,4,4,3,3,4
"71",1,0,1,1,1,1,1,1,0,0,4,4,4,2,3,3,3,4,2,4
"72",0,0,0,0,1,0,0,0,0,0,3,3,4,4,4,4,4,3,0,3
"73",1,0,1,1,1,1,1,1,0,1,3,2,4,2,3,4,2,4,1,3
"74",1,0,1,0,1,1,1,1,0,1,4,4,4,4,4,4,3,3,0,3
"75",0,0,0,0,0,0,1,0,0,0,1,4,2,2,3,2,1,1,1,2
"76",0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,2,3,0,3,3
"77",0,0,1,0,0,1,1,0,0,1,4,4,4,4,4,3,2,4,4,4
"78",0,0,0,0,0,1,1,1,0,1,3,0,4,4,4,4,4,4,1,2
"79",0,0,0,0,0,0,1,1,0,1,1,4,4,2,4,2,0,1,3,1
"80",1,1,1,1,1,1,1,1,0,1,4,4,4,2,4,4,4,4,4,3
"81",0,0,0,1,1,1,1,1,0,0,1,4,4,4,3,2,4,2,3,2
"82",1,0,0,1,1,1,1,0,0,1,1,4,4,2,4,4,4,4,1,3
"83",1,1,1,1,0,1,1,1,0,1,4,3,4,4,4,4,3,4,4,3
"84",1,0,0,0,0,0,0,0,0,0,1,4,4,2,1,2,3,2,2,3
"85",0,0,0,0,0,1,1,0,0,1,1,3,4,3,3,2,2,3,2,3
"86",0,0,1,0,0,0,0,0,1,1,1,3,2,2,3,3,3,3,2,0
"87",0,1,1,0,1,0,0,1,0,0,2,1,1,3,3,2,4,2,2,3
"88",1,0,0,1,1,0,1,0,1,0,1,2,2,4,4,4,4,3,0,3
"89",0,0,0,1,1,1,1,0,0,1,3,2,4,2,3,4,3,4,4,3
"90",1,0,0,0,0,0,0,1,0,0,1,2,4,1,1,4,2,3,3,3
"91",1,0,1,0,0,1,1,1,1,1,3,4,4,4,4,3,3,4,0,3
"92",0,0,0,0,1,1,1,0,0,1,1,2,4,3,1,3,2,1,3,1
"93",0,0,0,1,1,0,0,0,0,1,1,2,2,2,1,1,3,3,1,3
"94",1,0,0,0,0,0,1,0,0,0,3,2,2,1,1,2,1,3,3,0
"95",0,0,0,0,0,0,0,0,0,1,1,1,4,2,1,3,2,2,2,1
"96",0,0,1,0,1,1,1,0,0,1,4,2,4,4,4,4,3,4,4,3
"97",1,1,0,0,1,1,1,1,1,0,3,4,2,4,4,4,4,4,1,4
"98",1,0,0,0,1,0,1,1,1,1,3,4,4,3,4,4,3,3,3,0
"99",0,0,0,0,1,0,1,1,1,1,4,2,4,4,4,4,4,4,4,3
"100",0,1,1,1,1,1,1,1,1,1,4,4,4,4,3,4,4,2,1,1
"101",0,0,0,0,0,0,1,0,0,0,1,4,4,2,3,3,2,3,3,2
"102",0,0,0,0,0,0,1,0,0,0,4,2,2,4,3,4,2,3,1,2
"103",0,0,0,1,0,1,1,0,1,1,4,4,2,3,4,4,4,3,4,4
"104",1,0,1,0,0,0,1,0,1,0,3,2,2,2,1,2,1,3,3,0
"105",1,0,0,0,1,0,1,0,0,1,3,1,4,2,3,2,2,2,1,2
"106",0,0,0,0,0,1,1,1,0,0,1,2,2,2,1,4,4,1,0,2
"107",1,1,0,0,0,1,1,1,1,1,3,4,4,1,3,2,2,1,3,2
"108",0,0,0,0,0,1,0,1,0,0,3,2,4,3,3,2,2,3,1,2
"109",1,0,0,0,0,0,1,0,0,0,3,2,2,3,3,2,3,1,3,2
"110",1,0,0,1,0,1,1,1,1,0,4,3,4,3,4,2,2,4,4,4
"111",1,0,0,0,1,1,1,0,0,0,3,4,2,3,3,2,2,2,2,1
"112",1,0,1,0,1,1,1,1,0,0,3,4,4,3,3,4,4,4,4,0
"113",0,0,0,0,0,1,0,0,0,1,1,2,4,4,3,4,4,4,2,4
"114",1,0,0,0,0,0,1,1,1,0,3,2,4,3,3,4,2,3,2,1
"115",0,0,1,0,0,1,1,1,0,0,3,4,4,4,4,4,4,2,3,1
"116",0,1,0,1,0,1,1,0,0,1,3,4,4,3,3,3,3,4,4,2
"117",0,0,0,0,0,0,0,1,0,1,3,2,2,2,3,1,1,3,1,1
"118",1,0,1,1,1,1,1,1,0,1,3,2,4,4,3,2,3,4,3,4
"119",0,0,1,0,1,1,1,1,0,1,3,4,4,3,4,2,3,1,1,0
"120",0,0,0,0,1,0,1,0,1,0,1,2,4,2,1,3,4,3,3,2
"121",0,0,0,0,0,0,0,1,1,0,3,2,2,2,1,1,2,1,2,3
"122",0,0,0,0,1,1,0,1,0,1,1,4,2,4,1,4,3,3,3,1
"123",0,0,1,1,1,0,1,1,0,1,4,4,4,4,4,2,2,4,4,3
"124",1,0,1,0,1,1,0,1,1,1,4,4,4,4,4,4,4,4,4,4
"125",1,0,0,0,1,1,0,0,0,1,2,4,4,4,3,4,4,3,2,2
"126",0,0,1,0,1,1,1,1,0,0,3,4,2,3,3,4,2,4,1,2
"127",1,0,1,1,1,1,1,0,0,1,3,4,4,3,4,4,4,4,3,2
"128",1,0,0,0,0,0,0,1,0,1,2,3,4,4,1,3,2,4,3,3
"129",1,0,0,1,1,1,1,0,0,1,3,2,2,1,3,4,4,3,3,2
"130",1,0,0,0,0,0,0,0,0,0,4,2,2,2,1,2,3,4,2,1
"131",1,0,1,0,1,1,1,0,0,1,4,4,4,3,4,4,4,3,4,0
"132",0,0,1,0,1,1,1,1,0,1,4,4,4,2,4,2,4,3,4,3
"133",0,0,0,0,1,1,1,1,0,0,3,1,2,3,4,3,3,3,4,0
"134",0,0,1,0,0,0,1,0,0,1,2,4,2,1,3,2,3,2,2,4
"135",0,0,0,1,0,0,1,1,0,1,3,4,2,2,1,3,2,2,1,3
"136",0,0,0,0,0,1,1,1,0,0,1,4,2,3,2,4,4,3,1,1
"137",0,1,0,1,1,1,1,1,0,1,3,4,4,4,4,4,3,2,3,2
"138",1,0,0,0,0,1,1,0,0,1,3,4,4,4,4,3,2,4,4,3
"139",1,0,1,0,1,1,1,1,1,1,3,4,4,3,4,4,4,3,2,0
"140",1,0,0,1,0,1,1,0,0,0,3,2,2,3,3,2,3,4,2,3
"141",0,0,1,1,0,1,1,1,0,1,3,4,3,2,2,1,1,3,1,2
"142",1,1,1,1,1,1,1,1,0,1,3,4,4,4,4,4,2,4,3,4
"143",0,0,0,0,1,0,1,0,0,0,1,4,4,3,1,4,3,4,1,3
"144",1,0,1,1,0,1,1,1,1,1,1,4,4,4,4,4,4,4,1,2
"145",1,0,1,1,1,1,1,0,1,0,1,4,2,4,3,4,3,4,3,2
"146",0,1,0,1,0,0,1,0,0,0,4,2,2,0,1,2,2,1,3,1
"147",0,0,0,0,1,1,0,1,0,0,3,1,2,2,3,1,2,2,1,3
"148",0,0,0,0,0,0,1,1,0,0,3,2,4,3,1,3,3,2,1,3
"149",1,0,1,0,0,1,1,0,0,1,3,4,4,4,4,4,2,3,2,1
"150",0,0,1,1,1,1,1,1,1,1,1,4,4,4,4,3,2,3,1,3
"151",0,0,0,0,0,0,1,0,0,0,1,4,4,4,3,1,4,1,3,0
"152",0,0,1,0,1,0,1,0,0,1,3,4,4,3,4,3,3,3,3,3
"153",0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,3,1,1,3
"154",0,0,1,0,0,1,0,0,0,0,3,4,4,2,4,4,4,3,2,4
"155",1,0,1,1,1,0,1,0,0,0,3,4,4,4,3,4,3,2,2,2
"156",0,0,1,1,0,1,1,1,0,1,3,2,2,4,2,1,2,1,1,1
"157",0,0,0,1,1,1,1,1,1,1,3,4,4,3,3,4,2,3,1,3
"158",0,0,0,0,0,1,1,1,0,0,3,2,4,1,4,2,1,2,2,3
"159",0,0,0,1,1,1,1,1,0,1,3,4,4,4,4,1,2,2,2,3
"160",0,0,0,0,0,1,1,0,1,1,3,4,2,3,3,2,3,2,1,2
"161",1,0,0,0,0,1,1,1,0,0,3,4,4,4,3,2,4,2,1,4
"162",0,0,1,0,0,1,1,0,0,1,4,1,2,3,3,4,4,3,4,3
"163",1,0,0,0,1,1,1,0,0,1,3,2,2,3,4,3,2,4,1,3
"164",0,0,0,0,0,1,0,1,0,0,2,1,1,2,2,1,2,4,2,1
"165",0,0,1,1,1,1,1,1,1,1,3,2,4,2,4,2,4,4,3,0
"166",1,0,0,1,1,1,1,1,0,1,3,4,4,4,4,2,3,4,4,1
"167",0,0,0,0,1,1,1,1,0,1,2,2,4,4,3,2,4,4,3,4
"168",1,0,0,0,0,1,1,0,0,0,3,4,2,3,4,3,2,2,4,1
"169",1,0,1,1,1,1,1,1,0,1,3,1,4,4,3,4,4,4,2,4
"170",1,0,0,1,0,0,0,0,0,0,3,2,2,2,1,2,2,3,2,3
"171",0,0,0,0,1,1,1,1,0,0,3,2,4,3,4,1,2,1,2,1
"172",1,0,0,0,0,1,0,0,0,0,1,2,4,2,3,3,3,2,2,3
"173",0,0,0,0,0,1,1,0,0,0,1,2,2,4,2,1,2,3,3,3
"174",0,0,0,0,1,1,0,1,1,1,3,2,4,3,3,4,4,0,3,1
"175",0,0,0,0,1,0,1,1,1,1,1,4,4,3,2,2,2,3,3,4
"176",1,0,0,1,1,1,0,0,1,0,1,4,4,2,3,4,4,4,1,3
"177",0,0,1,0,1,1,0,0,0,1,4,4,4,4,4,4,4,2,1,1
"178",1,0,1,1,1,1,1,0,1,1,3,3,4,3,3,2,4,4,2,1
"179",1,0,0,0,0,0,0,0,0,0,4,3,2,3,3,1,2,2,1,3
"180",1,0,0,0,0,0,1,0,0,1,1,2,4,4,2,1,1,4,2,3
"181",0,0,1,1,1,1,1,0,0,1,3,4,4,3,4,4,4,4,1,3
"182",1,0,0,1,1,0,1,0,0,0,1,2,2,3,3,1,4,2,1,3
"183",0,0,1,0,0,0,0,0,1,0,1,2,2,2,1,4,3,2,3,3
"184",1,0,0,0,1,0,1,1,0,1,3,4,4,3,4,2,0,2,3,1
"185",0,0,1,1,0,1,0,0,0,1,4,3,4,4,3,4,3,3,4,3
"186",0,0,0,0,0,1,1,0,0,0,3,2,2,3,1,4,1,3,1,2
"187",0,0,1,0,1,1,1,1,0,1,4,2,2,4,4,2,4,2,3,1
"188",0,0,1,0,1,1,1,1,0,1,4,2,4,4,4,4,4,4,2,2
"189",0,0,1,1,0,1,0,0,0,1,1,4,4,4,4,4,3,3,1,2
"190",0,1,0,0,0,0,1,0,0,0,3,2,2,2,3,2,3,2,4,0
"191",0,0,0,1,0,0,1,0,0,1,3,4,2,3,1,1,3,2,1,3
"192",0,0,1,0,0,0,1,0,1,0,3,4,4,3,4,4,2,1,2,2
"193",1,0,1,1,1,1,1,0,1,1,3,4,4,2,1,3,4,4,1,4
"194",1,0,1,0,1,1,0,0,0,1,1,4,4,4,4,4,2,2,4,2
"195",0,0,0,0,0,0,0,0,0,0,3,2,2,2,3,3,2,2,1,3
"196",1,0,0,0,0,1,1,1,0,1,4,3,2,4,3,4,4,1,2,3
"197",0,0,0,0,1,1,0,0,0,0,3,4,4,1,3,4,2,2,3,1
"198",0,0,0,1,0,1,0,1,0,0,1,4,2,2,1,3,2,3,1,3
"199",0,1,0,0,0,0,0,1,0,0,3,4,2,3,3,3,2,1,1,2
"200",0,0,1,0,1,1,1,0,0,1,4,4,4,3,3,4,4,4,1,3
"201",0,0,1,0,0,0,1,0,0,1,2,1,4,4,4,1,2,2,2,3
"202",1,1,1,1,1,1,1,1,0,1,4,4,4,2,3,4,3,4,1,3
"203",0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,2,1,1,3
"204",0,1,0,0,0,1,0,1,0,1,1,4,4,3,3,4,2,2,1,0
"205",0,0,0,1,1,0,1,0,0,1,1,4,4,3,4,4,3,3,1,3
"206",0,0,0,1,1,1,0,0,0,0,1,4,2,4,1,2,4,3,2,1
"207",1,0,0,0,0,0,0,0,0,0,4,1,2,2,4,1,1,2,2,2
"208",0,0,0,1,0,1,1,0,1,1,4,4,2,4,4,3,2,2,2,2
"209",0,0,0,1,0,1,1,0,0,1,3,4,4,2,3,4,2,1,3,3
"210",1,0,0,1,0,1,0,0,0,0,3,1,2,4,3,2,2,2,2,3
"211",1,0,0,0,0,1,1,0,0,1,3,1,4,2,4,4,4,4,3,4
"212",0,0,0,1,0,0,1,1,0,1,3,4,2,2,3,2,3,3,3,1
"213",0,0,0,1,0,0,1,0,0,1,3,2,4,3,3,4,2,4,2,0
"214",1,0,0,1,0,1,1,1,0,0,1,4,4,3,3,2,3,1,2,1
"215",1,0,0,1,0,1,1,0,0,1,4,3,4,3,4,4,2,2,3,2
"216",0,0,1,1,0,1,1,0,0,0,1,2,2,2,3,3,3,3,1,1
"217",0,0,1,1,0,0,1,1,0,0,3,2,4,3,4,4,3,4,4,2
"218",0,0,0,0,0,0,1,1,0,1,1,2,4,4,3,1,1,0,3,3
"219",0,0,0,0,1,1,1,1,1,0,3,4,4,2,4,4,3,2,4,3
"220",1,0,0,0,1,1,1,1,0,0,3,4,4,2,3,1,3,0,1,0
"221",0,0,0,0,0,1,1,0,0,0,4,4,4,3,3,4,2,2,3,1
"222",0,0,0,0,1,0,1,0,0,0,3,4,2,3,1,4,3,3,4,0
"223",0,0,0,0,1,1,0,1,0,1,3,4,4,4,4,3,3,3,3,1
"224",0,0,1,1,0,1,1,1,0,1,3,4,4,4,4,4,4,4,4,4
"225",1,0,0,1,0,1,0,1,0,1,2,1,2,2,1,1,2,0,2,3
"226",0,0,0,1,1,1,0,0,0,0,1,3,2,3,3,1,2,2,3,3
"227",0,0,0,1,0,1,1,0,0,0,3,4,4,4,3,3,4,4,3,2
"228",1,0,1,1,1,1,1,1,1,1,3,2,4,4,3,3,4,4,4,2
"229",0,0,0,0,0,1,0,0,0,0,3,2,4,2,1,2,1,1,2,3
"230",0,0,0,1,1,1,0,0,0,0,3,4,4,3,4,2,3,4,3,4
"231",1,0,0,1,1,1,0,1,1,0,1,4,2,4,1,4,3,3,1,2
"232",0,1,1,1,1,1,1,1,1,1,1,4,4,3,3,2,4,3,4,2
"233",1,0,0,1,0,1,1,0,0,0,1,4,4,3,3,4,3,4,0,3
"234",1,0,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4
"235",0,0,1,1,0,1,1,1,1,1,3,4,4,4,4,4,4,4,3,4
"236",0,0,1,1,1,1,1,1,0,1,3,4,2,2,3,2,4,3,1,2
"237",0,0,0,1,1,1,1,1,0,1,4,2,4,4,4,2,4,4,2,2
"238",0,0,0,0,0,0,0,0,0,0,1,2,2,0,3,2,2,3,3,2
"239",1,0,0,0,1,1,1,1,0,1,4,3,4,4,4,4,4,4,3,4
"240",0,0,0,0,1,1,1,1,0,1,4,2,4,2,4,2,2,4,0,3
"241",0,0,1,0,0,1,1,0,1,0,2,2,4,4,2,3,4,2,3,3
"242",0,0,1,1,0,1,1,0,0,1,3,4,4,4,4,4,4,4,3,1
"243",0,0,1,1,0,1,1,0,0,0,2,4,4,3,1,2,1,4,3,2
"244",1,0,0,1,0,0,0,0,1,0,1,2,2,2,3,2,3,1,1,2
"245",0,1,0,0,0,0,1,1,0,1,3,2,4,3,4,2,3,3,3,4
"246",0,1,0,0,0,1,0,0,0,0,1,3,4,1,3,3,2,2,2,3
"247",0,0,1,1,1,1,1,0,0,0,3,3,4,4,3,4,2,4,1,2
"248",1,1,1,0,1,1,1,0,0,0,4,4,4,4,4,4,4,2,2,2
"249",0,0,1,1,0,1,0,0,0,0,3,4,2,2,4,4,2,4,3,3
"250",0,0,1,1,0,0,1,1,0,1,3,4,4,4,3,1,3,3,2,1
"251",1,0,0,1,1,1,1,1,1,1,4,4,4,4,4,3,4,4,1,4
"252",0,0,1,0,0,1,1,1,0,0,3,3,2,1,3,1,1,1,2,3
"253",0,0,0,0,0,1,1,1,0,0,3,2,2,3,3,3,1,3,1,4
"254",0,0,0,0,1,0,0,0,0,1,1,1,4,3,3,1,2,3,3,3
"255",0,0,1,0,1,1,1,1,0,1,3,1,4,4,4,4,4,3,3,1
"256",1,0,0,0,1,1,1,1,0,1,4,2,4,4,4,4,4,4,4,3
"257",0,0,0,1,1,0,0,1,0,0,1,4,4,4,4,4,4,4,4,4
"258",0,0,1,0,0,1,1,1,0,0,4,4,4,3,4,4,1,4,3,3
"259",0,0,1,1,1,0,1,1,0,0,3,4,4,3,3,2,4,4,4,2
"260",1,0,0,0,1,1,1,0,0,0,1,2,4,2,4,4,3,2,3,3
"261",1,0,0,0,0,0,1,0,1,1,3,2,2,3,1,2,2,0,4,0
"262",0,0,0,1,0,1,1,1,0,0,1,0,2,4,3,4,4,4,2,1
"263",0,0,1,1,0,1,1,0,1,1,1,4,4,4,4,4,4,3,4,3
"264",0,0,0,0,1,1,1,0,0,0,1,2,2,2,3,2,2,3,3,1
"265",0,0,0,0,0,1,1,1,0,1,3,2,4,3,4,4,2,2,3,2
"266",1,1,1,1,1,1,1,0,0,0,1,4,4,4,3,4,2,4,3,2
"267",1,0,0,1,0,1,1,0,0,0,1,4,2,4,3,2,2,4,1,3
"268",1,0,1,0,1,0,1,0,0,0,3,4,2,3,1,4,2,4,2,4
"269",1,0,1,0,0,1,1,0,0,0,3,2,4,4,3,2,4,4,2,2
"270",0,0,1,0,1,0,1,0,0,1,3,4,4,3,3,4,3,4,4,0
"271",0,0,0,0,0,1,1,1,0,0,3,2,2,3,2,2,1,3,4,2
"272",0,1,1,0,0,0,1,0,0,1,4,4,4,3,2,4,4,2,3,3
"273",1,0,1,0,1,1,1,1,1,1,3,4,2,4,3,3,4,4,2,3
"274",0,0,0,1,0,1,0,0,0,0,3,2,2,1,1,2,1,2,1,1
"275",1,0,0,0,0,1,1,0,0,1,1,4,2,3,3,4,3,1,1,2
"276",0,1,1,1,1,1,1,0,0,0,3,4,4,4,4,3,4,3,1,3
"277",1,0,0,0,1,1,0,0,0,0,1,4,4,3,3,2,3,4,0,0
"278",0,0,0,0,1,1,1,0,0,1,3,4,4,3,3,4,2,0,3,3
"279",0,0,0,1,1,0,1,0,0,0,2,2,4,3,3,4,2,3,1,1
"280",0,0,1,1,1,0,1,1,0,1,3,4,4,4,4,3,4,4,1,1
"281",1,0,1,0,1,1,1,0,0,1,3,2,4,4,3,4,3,3,3,1
"282",1,0,0,0,0,0,1,0,1,1,3,1,2,3,2,1,3,3,1,3
"283",0,0,1,1,1,1,1,0,0,1,3,4,4,4,3,4,3,4,4,3
"284",0,0,0,0,0,1,1,1,1,1,3,4,4,4,4,4,4,4,0,4
"285",0,0,1,0,1,0,1,0,0,0,3,1,4,3,4,3,3,4,1,3
"286",1,0,0,0,1,0,0,1,0,0,3,4,4,3,4,4,4,4,3,2
"287",0,0,0,1,0,1,1,1,0,1,1,4,2,3,4,2,4,3,1,1
"288",1,0,1,1,0,1,1,0,0,1,3,4,4,4,3,4,3,3,1,0
"289",1,0,0,0,1,1,1,0,1,1,3,4,4,3,2,2,3,1,4,3
"290",1,0,0,0,1,0,1,1,1,1,4,4,4,4,3,3,4,3,3,4
"291",0,0,0,0,1,0,0,0,0,0,1,1,2,3,3,3,4,3,3,1
"292",1,0,0,0,1,1,1,0,0,1,3,2,4,4,4,4,3,3,0,3
"293",1,0,0,0,0,0,1,0,1,0,3,2,4,4,4,2,1,3,3,3
"294",0,0,1,0,0,1,1,1,0,1,3,2,4,4,4,3,2,3,4,0
"295",0,0,1,0,0,0,1,1,0,1,1,4,4,4,3,2,3,2,4,3
"296",0,0,1,1,0,1,1,1,1,1,4,4,4,3,4,3,4,4,2,3
"297",0,0,0,0,1,0,1,0,0,0,4,4,4,3,1,2,2,4,2,0
"298",1,0,0,1,1,1,1,1,0,1,4,4,4,4,4,2,4,4,4,2
"299",0,0,0,0,1,0,1,0,0,0,3,3,4,3,1,4,3,3,3,4
"300",1,0,0,1,0,0,1,1,0,0,1,2,2,2,3,2,3,1,3,2
"301",0,0,0,1,1,1,1,1,0,1,3,4,4,3,4,1,2,1,4,0
"302",0,0,0,0,0,0,0,0,0,0,3,3,2,4,1,2,1,2,1,1
"303",0,0,1,0,1,1,1,1,0,1,2,4,4,3,4,4,2,2,1,4
"304",1,0,0,1,0,0,0,1,0,1,3,2,2,4,1,2,3,2,3,3
"305",1,0,0,0,0,0,1,1,1,0,3,2,2,3,1,2,2,2,1,2
"306",0,0,1,0,1,1,1,1,0,0,4,4,4,3,3,4,4,4,4,4
"307",0,1,1,0,1,1,1,0,0,0,3,2,2,3,3,4,4,2,1,2
"308",0,1,1,1,1,1,1,0,1,1,3,4,4,4,3,4,3,3,2,0
"309",0,0,0,0,0,0,0,0,1,0,1,4,2,4,1,3,1,2,2,2
"310",0,0,0,0,0,0,1,1,0,0,0,0,2,4,4,1,3,3,1,2
"311",0,0,0,0,0,1,1,0,0,1,3,2,4,2,3,2,4,4,4,0
"312",0,0,0,1,1,0,1,0,0,0,1,4,4,3,1,3,2,2,1,3
"313",0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,1,2,1,2,3
"314",0,1,1,1,1,1,1,0,0,0,4,3,4,3,4,4,3,3,3,4
"315",0,0,1,0,1,1,1,1,0,1,4,4,4,4,4,4,4,4,3,4
"316",0,1,0,0,0,1,1,0,0,1,1,2,2,3,4,3,2,0,1,2
"317",1,1,1,0,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4
"318",0,0,0,0,0,0,1,0,1,0,3,3,2,2,3,3,1,2,1,1
"319",1,0,1,0,1,0,1,1,0,1,4,4,4,4,4,4,2,2,2,2
"320",1,0,0,0,0,1,1,0,0,1,3,4,4,4,4,4,0,0,1,3
"321",0,0,0,0,0,1,0,0,0,0,1,2,2,1,1,2,3,3,1,2
